City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,22.07,48,7,0.89,AU,2025-01-30
1,guerrero negro,27.9769,-114.0611,13.99,69,0,7.15,MX,2025-01-30
2,okha,53.5739,142.9478,-13.02,95,100,6.95,RU,2025-01-30
3,grytviken,-54.2811,-36.5092,4.66,65,83,3.89,GS,2025-01-30
4,port-aux-francais,-49.35,70.2167,6.93,90,100,16.39,TF,2025-01-30
5,port alfred,-33.5906,26.891,21.77,93,22,1.34,ZA,2025-01-30
6,fuerte olimpo,-21.0415,-57.8738,28.79,58,79,1.76,PY,2025-01-30
7,puerto natales,-51.7236,-72.4875,10.27,69,100,2.27,CL,2025-01-30
8,sandnessjoen,66.0217,12.6316,2.32,88,100,6.57,NO,2025-01-30
9,cidreira,-30.1811,-50.2056,22.46,81,98,2.16,BR,2025-01-30
10,houma,29.5958,-90.7195,22.78,81,100,5.14,US,2025-01-30
11,ilulissat,69.2167,-51.1,-11.31,56,84,6.51,GL,2025-01-30
12,kavieng,-2.5744,150.7967,29.61,64,37,2.39,PG,2025-01-30
13,ushuaia,-54.8,-68.3,9.81,66,20,10.8,AR,2025-01-30
14,pisco,-13.7,-76.2167,22.03,83,0,9.26,PE,2025-01-30
15,invercargill,-46.4,168.35,20.57,53,25,3.13,NZ,2025-01-30
16,uusikaupunki,60.8004,21.4084,0.2,94,96,3.59,FI,2025-01-30
17,vilyuchinsk,52.9306,158.4028,-1.85,74,100,3.64,RU,2025-01-30
18,pandan,14.0453,124.1694,26.08,86,96,6.89,PH,2025-01-30
19,stanley,54.868,-1.6985,2.51,84,100,2.06,GB,2025-01-30
20,guarapari,-20.6667,-40.4975,24.01,85,100,4.93,BR,2025-01-30
21,st. john's,47.5649,-52.7093,-7.79,86,40,11.83,CA,2025-01-30
22,waitangi,-43.9535,-176.5597,17.12,78,72,3.13,NZ,2025-01-30
23,college,64.8569,-147.8028,-25.52,68,75,0.0,US,2025-01-30
24,sorong,-0.8833,131.25,28.49,75,100,2.95,ID,2025-01-30
25,papatowai,-46.5619,169.4708,16.84,61,93,3.34,NZ,2025-01-30
26,adamstown,-25.066,-130.1015,25.01,73,100,6.32,PN,2025-01-30
27,sitka,57.0531,-135.33,-1.06,80,100,3.6,US,2025-01-30
28,arraial do cabo,-22.9661,-42.0278,24.98,88,75,4.63,BR,2025-01-30
29,atafu village,-8.5421,-172.5159,28.49,76,78,8.25,TK,2025-01-30
30,rongelap,11.1635,166.8941,26.4,73,29,7.87,MH,2025-01-30
31,ust-nera,64.5667,143.2,-37.8,99,68,1.43,RU,2025-01-30
32,tolanaro,-25.0319,46.9987,25.16,88,1,3.63,MG,2025-01-30
33,hermanus,-34.4187,19.2345,18.22,82,100,8.16,ZA,2025-01-30
34,kirakira,-10.4544,161.9205,27.95,81,100,4.13,SB,2025-01-30
35,siracusa,37.0881,15.2792,10.18,75,99,0.45,IT,2025-01-30
36,saipan,15.1355,145.701,31.39,73,0,9.26,MP,2025-01-30
37,thunder bay,48.4001,-89.3168,-5.01,100,40,2.06,CA,2025-01-30
38,akureyri,65.6835,-18.0878,-2.04,93,100,1.54,IS,2025-01-30
39,holualoa,19.6228,-155.9522,26.91,68,100,12.35,US,2025-01-30
40,tura,25.5198,90.2201,14.17,97,100,1.71,IN,2025-01-30
41,sibu,2.3,111.8167,24.17,100,40,1.03,MY,2025-01-30
42,newman,37.3138,-121.0208,13.36,65,5,1.34,US,2025-01-30
43,isafjordur,66.0755,-23.124,-3.04,72,26,5.59,IS,2025-01-30
44,afaahiti,-17.75,-149.2833,26.64,77,19,6.95,PF,2025-01-30
45,kodiak,57.79,-152.4072,-4.27,39,0,5.14,US,2025-01-30
46,bredasdorp,-34.5322,20.0403,21.11,62,100,5.25,ZA,2025-01-30
47,whitehorse,60.7161,-135.0538,-21.1,70,100,5.66,CA,2025-01-30
48,bethel,41.3712,-73.414,-2.28,55,40,0.89,US,2025-01-30
49,stephenville,32.2207,-98.2023,16.07,30,0,4.63,US,2025-01-30
50,lorengau,-2.0226,147.2712,30.07,68,99,2.63,PG,2025-01-30
51,ormara,25.2088,64.6357,16.46,35,0,9.6,PK,2025-01-30
52,east london,-33.0153,27.9116,23.16,85,100,5.41,ZA,2025-01-30
53,nova sintra,14.8667,-24.7167,23.35,70,5,11.26,CV,2025-01-30
54,forster,-32.1667,152.5167,24.65,89,73,3.98,AU,2025-01-30
55,karyes,37.3,22.5,6.15,94,78,1.12,GR,2025-01-30
56,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,2025-01-30
57,shevchenko,48.5,35.0,5.09,93,97,2.31,UA,2025-01-30
58,susuman,62.7833,148.1667,-37.27,98,78,0.42,RU,2025-01-30
59,kutum,14.2,24.6667,11.11,32,7,4.28,SD,2025-01-30
60,downpatrick,54.3263,-5.7035,6.27,90,25,5.07,GB,2025-01-30
61,callao,-12.0667,-77.15,26.51,78,0,6.17,PE,2025-01-30
62,uruzgan,32.8333,66.0,-1.16,55,0,3.8,AF,2025-01-30
63,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,2025-01-30
64,kismayo,-0.3582,42.5454,24.41,84,8,5.87,SO,2025-01-30
65,lukhovitsy,54.9728,39.0361,2.46,93,7,3.96,RU,2025-01-30
66,balabac,7.9868,117.0645,26.63,85,100,5.99,PH,2025-01-30
67,kiambu,-1.1667,36.8333,14.77,88,75,0.0,KE,2025-01-30
68,tiksi,71.6872,128.8694,-25.38,99,100,1.31,RU,2025-01-30
69,hotan,37.0997,79.9269,-2.79,34,100,0.72,CN,2025-01-30
70,hithadhoo,-0.6,73.0833,27.86,74,99,5.36,MV,2025-01-30
71,muravlenko,63.7898,74.523,-30.13,100,38,1.95,RU,2025-01-30
72,margaret river,-33.95,115.0667,24.38,63,0,4.11,AU,2025-01-30
73,edinburgh of the seven seas,-37.0676,-12.3116,14.85,63,26,3.22,SH,2025-01-30
74,gold camp,33.2937,-111.3043,12.17,53,0,1.92,US,2025-01-30
75,adi keyh,14.8444,39.3772,11.78,84,6,1.61,ER,2025-01-30
76,san patricio,28.017,-97.5169,17.48,70,99,3.0,US,2025-01-30
77,thompson,55.7435,-97.8558,-23.91,70,75,4.63,CA,2025-01-30
78,klyuchi,52.2667,79.1667,-14.39,95,98,4.0,RU,2025-01-30
79,kailua-kona,19.6406,-155.9956,28.98,69,100,12.35,US,2025-01-30
80,puerto ayora,-0.7393,-90.3518,24.75,96,11,0.89,EC,2025-01-30
81,eyl,7.9803,49.8164,21.43,83,44,7.39,SO,2025-01-30
82,wailua homesteads,22.0669,-159.378,26.44,81,100,10.8,US,2025-01-30
83,shingu,33.7333,135.9833,8.28,47,5,4.55,JP,2025-01-30
84,ust-tsilma,65.441,52.1498,-8.35,96,100,2.84,RU,2025-01-30
85,enewetak,11.3474,162.3373,26.76,77,39,8.55,MH,2025-01-30
86,chonchi,-42.6128,-73.8092,15.62,96,100,2.78,CL,2025-01-30
87,chateauneuf-sur-loire,47.8657,2.219,1.0,93,15,0.92,FR,2025-01-30
88,madan,41.5,24.95,4.81,90,82,1.59,BG,2025-01-30
89,bengkulu,-3.8004,102.2655,24.83,83,100,2.04,ID,2025-01-30
90,albany,42.6001,-73.9662,-4.2,58,99,0.89,US,2025-01-30
91,burgau,48.4316,10.4099,6.73,95,100,3.91,DE,2025-01-30
92,dolores,-36.3132,-57.6792,18.31,87,0,3.48,AR,2025-01-30
93,montrose,38.4166,-108.2673,-4.7,62,0,1.61,US,2025-01-30
94,ribeira grande,38.5167,-28.7,17.22,88,75,8.05,PT,2025-01-30
95,olonkinbyen,70.9221,-8.7187,-3.78,81,100,5.5,SJ,2025-01-30
96,henryetta,35.4398,-95.9819,9.97,66,11,3.98,US,2025-01-30
97,leava,-14.3,-178.1667,27.55,79,93,4.77,WF,2025-01-30
98,chernyshevskiy,63.0128,112.4714,-39.72,100,98,0.31,RU,2025-01-30
99,nemuro,43.3236,145.575,-0.63,74,100,10.14,JP,2025-01-30
100,nago,26.5881,127.9761,18.25,59,22,5.18,JP,2025-01-30
101,comodoro rivadavia,-45.8667,-67.5,23.92,29,0,2.57,AR,2025-01-30
102,la ronge,55.1001,-105.2842,-23.86,70,0,2.57,CA,2025-01-30
103,luderitz,-26.6481,15.1594,16.28,85,0,4.2,NA,2025-01-30
104,georgetown,5.4112,100.3354,25.96,72,20,3.09,MY,2025-01-30
105,longyearbyen,78.2186,15.6401,-0.09,80,40,4.12,SJ,2025-01-30
106,polyarnyy,69.1989,33.4478,-0.96,95,100,8.66,RU,2025-01-30
107,aldinga beach,-35.2793,138.4604,23.7,38,0,4.48,AU,2025-01-30
108,bismarck,46.8083,-100.7837,1.91,76,0,3.6,US,2025-01-30
109,tazovsky,67.4667,78.7,-27.09,98,96,3.19,RU,2025-01-30
110,nobres,-14.7203,-56.3275,22.08,91,100,8.28,BR,2025-01-30
111,lazaro cardenas,17.9583,-102.2,24.7,77,3,3.0,MX,2025-01-30
112,ternate,0.8,127.4,27.05,78,100,1.5,ID,2025-01-30
113,arteche,12.2645,125.4048,26.46,87,100,5.19,PH,2025-01-30
114,constantia,44.1833,28.65,7.61,89,100,3.22,RO,2025-01-30
115,ca mau,9.1769,105.15,24.83,73,100,1.29,VN,2025-01-30
116,hammerfest,70.6634,23.6821,-0.75,93,75,2.57,NO,2025-01-30
117,port mathurin,-19.6833,63.4167,26.86,84,99,10.1,MU,2025-01-30
118,iqaluit,63.7506,-68.5145,-20.73,70,75,9.77,CA,2025-01-30
119,eraan,9.0629,117.7016,27.92,76,80,2.3,PH,2025-01-30
120,severo-yeniseyskiy,60.3725,93.0408,-35.68,100,19,1.3,RU,2025-01-30
121,duminichi,53.9345,35.1099,1.61,95,9,2.24,RU,2025-01-30
122,nova vicosa,-17.8919,-39.3719,24.86,87,86,3.81,BR,2025-01-30
123,ongjin,37.9347,125.3619,-3.46,87,100,2.72,KP,2025-01-30
124,ladario,-19.0047,-57.6017,24.71,90,85,1.53,BR,2025-01-30
125,saint-pierre,-21.3393,55.4781,26.82,74,0,2.06,RE,2025-01-30
126,saudarkrokur,65.7461,-19.6394,-0.85,88,99,5.39,IS,2025-01-30
127,walker,30.7335,-95.5669,15.88,88,40,1.54,US,2025-01-30
128,bubaque,11.2833,-15.8333,25.15,70,0,2.62,GW,2025-01-30
129,yellowknife,62.456,-114.3525,-28.1,94,75,2.06,CA,2025-01-30
130,khilok,51.3674,110.4676,-28.46,99,89,0.85,RU,2025-01-30
131,okhotsk,59.3833,143.3,-20.49,73,0,6.46,RU,2025-01-30
132,gleno,-8.7211,125.4359,24.36,86,100,2.06,TL,2025-01-30
133,villa regina,-39.1,-67.0667,35.55,15,0,2.24,AR,2025-01-30
134,kokopo,-4.352,152.2633,30.09,64,91,3.69,PG,2025-01-30
135,ubari,26.5921,12.7805,12.13,35,5,3.75,LY,2025-01-30
136,yamada,39.4667,141.95,1.17,47,96,1.93,JP,2025-01-30
137,turriff,57.5384,-2.4593,1.54,73,100,3.02,GB,2025-01-30
138,betio village,1.358,172.9211,30.02,83,74,7.79,KI,2025-01-30
139,bilibino,68.0546,166.4372,-38.01,100,100,0.15,RU,2025-01-30
140,carahue,-38.7,-73.1667,12.31,89,0,0.87,CL,2025-01-30
141,wenatchee,47.4235,-120.3103,-0.53,77,0,1.54,US,2025-01-30
142,utrik,11.2278,169.8474,26.24,73,97,5.9,MH,2025-01-30
143,altamira,-3.2033,-52.2064,23.47,97,100,1.47,BR,2025-01-30
144,akkarampalle,13.65,79.42,21.59,94,20,0.51,IN,2025-01-30
145,la asuncion,11.0333,-63.8628,24.8,86,5,7.37,VE,2025-01-30
146,nassau,40.7507,-73.5829,0.96,56,0,1.54,US,2025-01-30
147,san matias,-16.3667,-58.4,24.12,94,80,1.51,BO,2025-01-30
148,hadibu,12.65,54.0333,22.82,75,65,4.49,YE,2025-01-30
149,hawkesbury,45.6001,-74.616,-10.84,97,100,1.98,CA,2025-01-30
150,el granada,37.5027,-122.4694,11.36,73,0,1.54,US,2025-01-30
151,gopalpur,19.2667,84.9167,20.99,89,3,3.03,IN,2025-01-30
152,cam ranh,11.9214,109.1591,21.98,68,0,2.57,VN,2025-01-30
153,kuraymah,18.55,31.85,16.25,29,6,5.58,SD,2025-01-30
154,tsiombe,-25.3,45.4833,24.69,86,85,2.77,MG,2025-01-30
155,santanyi,39.3546,3.1291,9.87,80,72,3.47,ES,2025-01-30
156,nadym,65.5333,72.5167,-24.61,99,85,3.85,RU,2025-01-30
157,jayapura,-2.5333,140.7,30.66,74,93,0.44,ID,2025-01-30
158,sur,22.5667,59.5289,20.35,59,0,5.79,OM,2025-01-30
159,sola,-13.8833,167.55,27.37,89,100,0.0,VU,2025-01-30
160,trairi,-3.2778,-39.2689,25.66,82,8,3.23,BR,2025-01-30
161,vilyuysk,63.7553,121.6247,-41.11,100,83,1.4,RU,2025-01-30
162,udachny,66.4167,112.4,-31.89,98,95,1.79,RU,2025-01-30
163,tralee,52.2704,-9.7026,7.16,89,13,4.27,IE,2025-01-30
164,nema,57.5067,50.5011,-0.17,98,100,2.69,RU,2025-01-30
165,goth garelo,27.4352,68.0755,12.83,26,0,2.7,PK,2025-01-30
166,goure,13.9835,10.2704,16.53,22,100,4.06,NE,2025-01-30
167,taltal,-25.4,-70.4833,20.2,84,22,1.16,CL,2025-01-30
168,porto novo,6.4965,2.6036,26.45,81,17,2.48,BJ,2025-01-30
169,levuka,50.1834,-105.4011,-3.15,86,100,4.12,CA,2025-01-30
170,labrador city,52.9463,-66.9114,-26.05,64,100,10.8,CA,2025-01-30
171,huarmey,-10.0681,-78.1522,22.64,81,99,3.96,PE,2025-01-30
172,vernon,50.2581,-119.2691,1.07,71,100,2.06,CA,2025-01-30
173,ayorou,14.7308,0.9174,21.05,15,5,3.61,NE,2025-01-30
174,tshabong,-26.05,22.45,27.12,27,32,3.73,BW,2025-01-30
175,road town,18.4167,-64.6167,26.02,83,40,4.12,VG,2025-01-30
176,port elizabeth,-33.918,25.5701,20.73,93,0,0.45,ZA,2025-01-30
177,aral,40.5156,81.2636,-6.52,41,16,1.33,CN,2025-01-30
178,tenosique,17.4833,-91.4333,27.24,68,6,4.33,MX,2025-01-30
179,dadukou,26.5479,101.7054,9.83,77,55,0.41,CN,2025-01-30
180,anadyr,64.75,177.4833,-16.72,77,100,7.0,RU,2025-01-30
181,kapuskasing,49.4169,-82.4331,-10.95,85,100,3.6,CA,2025-01-30
182,gaspe,48.8334,-64.4819,-17.88,50,0,5.66,CA,2025-01-30
183,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,46,75,5.0,RU,2025-01-30
184,mount gambier,-37.8333,140.7667,22.9,42,0,3.97,AU,2025-01-30
185,dunedin,-45.8742,170.5036,16.74,68,27,3.48,NZ,2025-01-30
186,vadso,70.0744,29.7487,-0.91,93,100,7.72,NO,2025-01-30
187,badger,64.8,-147.5333,-25.57,71,100,0.0,US,2025-01-30
188,zeya,53.75,127.2667,-16.47,82,100,1.13,RU,2025-01-30
189,inarajan village,13.2736,144.7484,29.66,79,100,10.22,GU,2025-01-30
190,preobrazheniye,42.9019,133.9064,-9.31,53,0,3.09,RU,2025-01-30
191,yuxia,34.0615,108.6291,4.77,85,99,0.43,CN,2025-01-30
192,soanierana ivongo,-16.9167,49.5833,25.55,86,6,1.39,MG,2025-01-30
193,chibougamau,49.9168,-74.3659,-20.21,84,100,3.09,CA,2025-01-30
194,pingshan,22.9938,114.7131,16.82,54,100,1.51,CN,2025-01-30
195,talnakh,69.4865,88.3972,-21.4,99,100,3.54,RU,2025-01-30
196,santa elena de uairen,4.6167,-61.1333,19.99,80,100,2.12,VE,2025-01-30
197,nkhotakota,-12.9274,34.2961,22.76,85,100,1.59,MW,2025-01-30
198,saldanha,-33.0117,17.9442,18.02,87,100,4.25,ZA,2025-01-30
199,west island,-12.1568,96.8225,27.99,89,100,2.06,CC,2025-01-30
200,egilsstadir,65.2653,-14.3948,4.95,65,75,11.83,IS,2025-01-30
201,wanning,18.8003,110.3967,21.34,83,68,1.1,CN,2025-01-30
202,la'ie,21.6477,-157.9253,25.66,76,100,11.5,US,2025-01-30
203,turtas,58.9417,69.1325,-29.4,100,96,0.36,RU,2025-01-30
204,fortuna,40.5982,-124.1573,11.63,66,0,3.09,US,2025-01-30
205,buckeye,33.3703,-112.5838,15.42,43,0,2.57,US,2025-01-30
206,graaff-reinet,-32.2522,24.5308,17.73,92,0,0.69,ZA,2025-01-30
207,sabang,5.8933,95.3214,27.4,67,87,6.27,ID,2025-01-30
208,naze,28.3667,129.4833,13.51,59,0,2.98,JP,2025-01-30
209,gereida,11.2811,25.1414,16.57,24,0,5.7,SD,2025-01-30
210,woods creek,47.8787,-121.8985,5.8,80,100,2.23,US,2025-01-30
211,cherdyn',60.403,56.4787,-5.25,96,100,3.28,RU,2025-01-30
212,castillos,-34.1667,-53.8333,20.39,75,0,3.54,UY,2025-01-30
213,lebu,-37.6167,-73.65,14.48,88,0,2.15,CL,2025-01-30
214,askoy,60.4092,5.226,2.09,100,40,0.0,NO,2025-01-30
215,aykhal,66.0,111.5,-28.05,97,99,2.95,RU,2025-01-30
216,beau vallon,-20.4189,57.6953,25.13,88,40,2.06,MU,2025-01-30
217,talitsa,56.8804,60.0213,-6.31,96,100,1.49,RU,2025-01-30
218,poxoreo,-15.8372,-54.3892,22.98,94,100,1.48,BR,2025-01-30
219,hawaiian paradise park,19.5933,-154.9731,28.28,76,100,3.13,US,2025-01-30
220,melekeok village,7.4957,134.6367,30.31,70,75,6.69,PW,2025-01-30
221,kavaratti,10.5669,72.642,27.29,71,44,2.24,IN,2025-01-30
222,hasaki,35.7333,140.8333,7.5,34,0,6.25,JP,2025-01-30
223,wuhai,39.6647,106.8122,-7.08,64,93,2.63,CN,2025-01-30
224,zhizdra,53.746,34.7395,1.7,93,23,2.32,RU,2025-01-30
225,santa cruz,-17.8,-63.1667,25.7,83,40,1.03,BO,2025-01-30
226,madimba,-10.4,40.3333,26.25,91,28,5.16,TZ,2025-01-30
227,slave lake,55.2834,-114.769,-14.01,78,100,5.14,CA,2025-01-30
228,aioun,16.6614,-9.6149,19.97,13,0,5.23,MR,2025-01-30
229,marijampole,54.5667,23.35,5.03,86,100,4.06,LT,2025-01-30
230,dabeiba,7.0017,-76.2672,22.56,98,100,0.42,CO,2025-01-30
231,sagua la grande,22.8067,-80.0756,20.69,73,0,4.39,CU,2025-01-30
232,kiunga,-6.1219,141.2906,24.22,98,100,1.37,PG,2025-01-30
233,cova figueira,14.8905,-24.2934,17.39,56,1,7.25,CV,2025-01-30
234,la sarre,48.8002,-79.1996,-11.68,97,100,1.29,CA,2025-01-30
235,farkhar,36.5729,69.8578,-6.79,78,97,3.08,AF,2025-01-30
236,kashin,57.3592,37.6081,4.25,85,100,5.14,RU,2025-01-30
237,andovoranto,-18.95,49.1,26.21,94,2,2.61,MG,2025-01-30
238,valle nacional,17.7833,-96.3167,25.59,86,31,1.07,MX,2025-01-30
239,kijang,35.2442,129.2139,-1.15,49,100,1.62,KR,2025-01-30
240,fort bragg,35.139,-79.006,13.91,41,100,2.06,US,2025-01-30
241,winnemucca,40.973,-117.7357,6.03,28,0,1.54,US,2025-01-30
242,queenstown,-31.8976,26.8753,21.92,72,69,0.67,ZA,2025-01-30
243,aasiaat,68.7098,-52.8699,-13.27,75,93,5.19,GL,2025-01-30
244,san jose del guaviare,2.5729,-72.6459,23.34,95,95,0.86,CO,2025-01-30
245,jamestown,42.097,-79.2353,3.9,66,0,4.63,US,2025-01-30
246,pasighat,28.0667,95.3333,14.87,87,100,1.04,IN,2025-01-30
247,yingshang chengguanzhen,32.6295,116.2701,5.03,77,100,4.41,CN,2025-01-30
248,tommot,58.9564,126.2925,-27.27,96,100,0.69,RU,2025-01-30
249,haiku-pauwela,20.9219,-156.3051,25.67,79,100,15.95,US,2025-01-30
250,bartica,6.4,-58.6167,22.3,94,75,1.33,GY,2025-01-30
251,miguel ahumada,30.6167,-106.5167,10.33,27,0,7.22,MX,2025-01-30
252,shenjiamen,29.9576,122.298,12.62,79,96,6.74,CN,2025-01-30
253,gadzhiyevo,69.2551,33.3362,-0.89,95,100,8.64,RU,2025-01-30
254,iskateley,67.6803,53.1512,-19.31,100,67,2.49,RU,2025-01-30
255,coquimbo,-29.9533,-71.3436,17.85,87,20,3.6,CL,2025-01-30
256,turbat,26.0023,63.044,13.14,18,0,9.83,PK,2025-01-30
257,aripuana,-9.1667,-60.6333,22.7,99,91,0.57,BR,2025-01-30
258,dudinka,69.4058,86.1778,-22.81,97,100,6.1,RU,2025-01-30
259,canutama,-6.5339,-64.3831,23.0,97,57,0.61,BR,2025-01-30
260,shenkursk,62.1091,42.896,1.44,100,100,4.06,RU,2025-01-30
261,lieksa,63.3167,30.0167,-1.6,93,100,6.51,FI,2025-01-30
262,severnoye,56.3491,78.3619,-20.22,98,100,2.38,RU,2025-01-30
263,vila franca do campo,37.7167,-25.4333,16.23,88,100,4.11,PT,2025-01-30
264,pasni,25.2631,63.471,15.49,33,0,8.41,PK,2025-01-30
265,khunti,23.0833,85.2833,14.06,34,3,0.99,IN,2025-01-30
266,howard springs,-12.497,131.047,29.37,79,100,1.84,AU,2025-01-30
267,kokstad,-30.5472,29.4241,18.02,85,78,2.04,ZA,2025-01-30
268,yako,12.9667,-2.2667,21.87,14,99,4.19,BF,2025-01-30
269,saint-philippe,-21.3585,55.7679,26.96,82,43,4.45,RE,2025-01-30
270,lata,40.1629,-8.3327,4.55,85,100,1.41,PT,2025-01-30
271,tha khanon,9.0302,98.9529,19.9,89,100,0.83,TH,2025-01-30
272,dryden,49.7833,-92.7503,-4.84,86,100,3.6,CA,2025-01-30
273,daru,-9.0763,143.2092,28.13,80,100,4.67,PG,2025-01-30
274,egersund,58.4513,5.9997,2.29,84,9,2.12,NO,2025-01-30
275,shuangcheng,45.35,126.2833,-17.71,85,69,2.7,CN,2025-01-30
276,minas de marcona,-15.2119,-75.1103,17.73,79,100,5.12,PE,2025-01-30
277,luang prabang,19.8856,102.1347,15.98,94,34,1.03,LA,2025-01-30
278,murray bridge,-35.1167,139.2667,23.62,31,0,3.72,AU,2025-01-30
279,lianran,24.9227,102.485,5.3,94,27,1.53,CN,2025-01-30
280,mananjary,-21.2167,48.3333,25.86,94,29,2.84,MG,2025-01-30
281,maba,24.6841,113.5984,17.04,66,85,0.72,CN,2025-01-30
282,farnham,51.2143,-0.7959,3.19,90,100,2.57,GB,2025-01-30
283,colonia,50.9333,6.95,3.28,90,40,0.51,DE,2025-01-30
284,mersing,2.4312,103.8405,24.95,83,20,3.6,MY,2025-01-30
285,birjand,32.8663,59.2211,-5.74,38,0,2.06,IR,2025-01-30
